Lens,Capacity,Wording,Study,Year,Country,Robot Type,Age group,Population,Age,N,Mean (normalized 0-1),Notes
1) living creature (bodily),calmness,"""How capable is __ of feeling calm?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,0.14,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),calmness,"""How capable is __ of feeling calm?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,0.14,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),calmness,"""How capable is __ of feeling calm?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,0.11,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),calmness,"""Can __ feel calm?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,0.09,"original scale: no (coded 0), kinda (0.5), yes (1)"
1) living creature (bodily),consciousness,"""How capable is __ of being conscious?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,0.14,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),consciousness,"""How capable is __ of being conscious?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,0.13,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),consciousness,"""How capable is __ of being conscious?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,0.10,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),desire,"""How capable is __ of having desires?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,0.10,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),desire,"""How capable is __ of having desires?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,0.09,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),desire,"""How capable is __ of having desires?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,0.08,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),desire,"""Can __ have desires, like when you really want something?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,100,0.05,"original scale: no (coded 0), kinda (0.5), yes (1)"
1) living creature (bodily),fatigue,"""Can __ feel tired?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,100,0.09,"original scale: no (coded 0), kinda (0.5), yes (1)"
1) living creature (bodily),fatigue,"""How capable is __ of feeling tired?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,0.08,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),fatigue,"""How capable is __ of feeling tired?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,0.08,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),fatigue,"""How capable is __ of feeling tired?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,0.06,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),fear,"""How capable is __ of experiencing fear?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,0.09,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),fear,"""How capable is __ of experiencing fear?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,0.08,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),fear,"""How capable is __ of experiencing fear?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,0.06,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),fear,"""Can __ feel scared?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,100,0.05,"original scale: no (coded 0), kinda (0.5), yes (1)"
1) living creature (bodily),free will,"""How capable is __ of exercising free will?""",Gary (2014); Study 4,2014,US,humanoid (autonomous),adults,community sample,-,24,0.21,original scale: 0 (not at all capable) to 6 (entirely capable)
1) living creature (bodily),free will,"""How capable is __ of having free will?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,0.11,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),free will,"""How capable is __ of having free will?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,0.09,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),free will,"""How capable is __ of having free will?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,0.09,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),free will,"""How capable is __ of exercising free will?""",Gary (2014); Study 4,2014,US,humanoid (directed),adults,community sample,-,24,0.02,original scale: 0 (not at all capable) to 6 (entirely capable)
1) living creature (bodily),hunger,"""How capable is __ of getting hungry?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,0.06,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),hunger,"""How capable is __ of getting hungry?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,0.05,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),hunger,"""How capable is __ of getting hungry?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,0.05,original scale: 0 (not at all capable) to 6 (highly capable)
1) living creature (bodily),hunger,"""Can __ get hungry?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,99,0.03,"original scale: no (coded 0), kinda (0.5), yes (1)"
1) living creature (bodily),intentions,"""How capable is __ of having intentions?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,0.26,original scale: 0 (not at all capable) to 6 (highly capable)
