Lens,Capacity,Wording,Study,Year,Country,Robot Type,Age group,Population,Age,N,% Endorsing,% Ambivalent or Pretending,% Rejecting,Notes
1) living creature (bodily),calmness,"""How capable is __ of feeling calm?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,6%,15%,79%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),calmness,"""How capable is __ of feeling calm?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,6%,18%,77%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),calmness,"""Can __ feel calm?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,6%,7%,87%,
1) living creature (bodily),calmness,"""How capable is __ of feeling calm?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,4%,12%,83%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),consciousness,"""Can __ be aware of things?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,60%,16%,24%,
1) living creature (bodily),consciousness,"""Is __ conscious?""","Kahn, Kanda, Ishiguro, Gill, Ruckert, Shen, Gary, Reichert, Freier, & Severson (2012)",2012,US,humanoid,adults,undergraduates,-,40,50%,-,-,
1) living creature (bodily),consciousness,"""How capable is __ of being conscious?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,6%,14%,80%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),consciousness,"""How capable is __ of being conscious?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,4%,15%,81%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),consciousness,"""How capable is __ of being conscious?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,2%,12%,86%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),desire,"""How capable is __ of having desires?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,2%,10%,87%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),desire,"""How capable is __ of having desires?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,2%,10%,88%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),desire,"""How capable is __ of having desires?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,2%,15%,84%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),desire,"""Can __ have desires, like when you really want something?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,100,1%,8%,91%,
1) living creature (bodily),fatigue,"""Can __ feel tired?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,100,6%,6%,88%,
1) living creature (bodily),fatigue,"""How capable is __ of feeling tired?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,2%,8%,89%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),fatigue,"""How capable is __ of feeling tired?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,2%,10%,88%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),fatigue,"""How capable is __ of feeling tired?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,0%,9%,90%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
